,title,price,link
10,"ASUS FullHD 17.3 Inch Gaming Notebook - AMD Ryzen 7 7730U 16-Thread CPU, 4.5 GHz, 24 GB DDR4, 1000 GB SSD, Radeon 8-Core 3D, HDMI, BT, USB 3.0, WLAN, Windows 11 Prof. 64, MS Office - 7524  ",699.,https://www.amazon.de//-/en/ASUS-FullHD-17-3-Gaming-Notebook/dp/B0CTQYHH2J/ref=sr_1_15?crid=1D1FBPR93YL96&dib=eyJ2IjoiMSJ9.-3VI1TpjshEYq87j-6o5b6i4gpV2JFFtvElJtEBJUycH-49kt66lOB-AjBZEf1cT4sc3TGz3l8KUqz-NuT5TD8RS0QxyI3BHnrnqNfr6BHzGdFmum_FtdaeQ-ljy1A3eusKSf5KcrAg2Jc8eOE1mkUTnlAKAZGDY0B26HB9wjPvRzBePfT5CKwYqCLZa7x7bIpY6EsJwNCqW0Ggsm3NEA_0ySAJdTuliQE5IdonrVco.kxxShpF7jGUNN2WIKfJEkU5iSAqPIUui3TAc8h87m70&dib_tag=se&keywords=laptop&qid=1719650548&sprefix=laptop%2Caps%2C349&sr=8-15
11,"Lenovo 15.6 Inch Full HD Notebook - Intel Quad N5100 4 x 2.80 GHz, 16GB DDR4, 1000 GB SSD, Intel UHD, HDMI, Webcam, Bluetooth, USB 3.0, WiFi, Windows 11 Prof. 64 Bit - 7323  ",366.,https://www.amazon.de//-/en/Lenovo-15-6-Inch-Full-Notebook/dp/B0CBV5VH6F/ref=sr_1_3?crid=1D1FBPR93YL96&dib=eyJ2IjoiMSJ9.-3VI1TpjshEYq87j-6o5b6i4gpV2JFFtvElJtEBJUycH-49kt66lOB-AjBZEf1cT4sc3TGz3l8KUqz-NuT5TD8RS0QxyI3BHnrnqNfr6BHzGdFmum_FtdaeQ-ljy1A3eusKSf5KcrAg2Jc8eOE1mkUTnlAKAZGDY0B26HB9wjPvRzBePfT5CKwYqCLZa7x7bIpY6EsJwNCqW0Ggsm3NEA_0ySAJdTuliQE5IdonrVco.kxxShpF7jGUNN2WIKfJEkU5iSAqPIUui3TAc8h87m70&dib_tag=se&keywords=laptop&qid=1719650548&sprefix=laptop%2Caps%2C349&sr=8-3
12,"HP Laptop 15.6 Inch FHD Display, Intel Pentium Silver N6000, 8GB DDR4 RAM, 256GB SSD, Intel UHD Graphics, QWERTZ Keyboard, Windows 11 Home, Silver  ",499.,https://www.amazon.de//-/en/Display-Pentium-Graphics-Keyboard-Windows/dp/B0B4X2SYPW/ref=sr_1_16?crid=1D1FBPR93YL96&dib=eyJ2IjoiMSJ9.-3VI1TpjshEYq87j-6o5b6i4gpV2JFFtvElJtEBJUycH-49kt66lOB-AjBZEf1cT4sc3TGz3l8KUqz-NuT5TD8RS0QxyI3BHnrnqNfr6BHzGdFmum_FtdaeQ-ljy1A3eusKSf5KcrAg2Jc8eOE1mkUTnlAKAZGDY0B26HB9wjPvRzBePfT5CKwYqCLZa7x7bIpY6EsJwNCqW0Ggsm3NEA_0ySAJdTuliQE5IdonrVco.kxxShpF7jGUNN2WIKfJEkU5iSAqPIUui3TAc8h87m70&dib_tag=se&keywords=laptop&qid=1719650548&sprefix=laptop%2Caps%2C349&sr=8-16
13,"AOCWEI Laptop 16 Inch 12 GB RAM 512 GB ROM Extensions 2.5 Inch 1 TB SSD, Laptop Win 11 with 4-Core CPU N5095 (up to 2.9 GHz), 1920 x 1200ä¸¨5G WiFi, Bluetooth & German Keyboard Sticker Purple  ",288.,https://www.amazon.de//-/en/Extensions-1200%E4%B8%A85G-Bluetooth-Keyboard-Sticker/dp/B0C5CCGW4J/ref=sr_1_17?crid=1D1FBPR93YL96&dib=eyJ2IjoiMSJ9.-3VI1TpjshEYq87j-6o5b6i4gpV2JFFtvElJtEBJUycH-49kt66lOB-AjBZEf1cT4sc3TGz3l8KUqz-NuT5TD8RS0QxyI3BHnrnqNfr6BHzGdFmum_FtdaeQ-ljy1A3eusKSf5KcrAg2Jc8eOE1mkUTnlAKAZGDY0B26HB9wjPvRzBePfT5CKwYqCLZa7x7bIpY6EsJwNCqW0Ggsm3NEA_0ySAJdTuliQE5IdonrVco.kxxShpF7jGUNN2WIKfJEkU5iSAqPIUui3TAc8h87m70&dib_tag=se&keywords=laptop&qid=1719650548&sprefix=laptop%2Caps%2C349&sr=8-17
14,"HUAWEI MateBook D 16 2024, 12th Gen Intel Core i5, 8GB RAM, 512GB SSD, 16 Zoll FullView Display, 1,68 kg leichten GehÃ¤use, Windows 11 Home, Space Gray, Deutsche Version  ",599.,https://www.amazon.de//-/en/sspa/click?ie=UTF8&spc=MTo1NDI1MDcxNjc2NjE0NDc1OjE3MTk2NTA1NDk6c3BfbXRmOjMwMDE0NTI5NjA5NTEzMjo6MDo6&url=%2FMitchellF-W5851%2Fdp%2FB0CMYLNSDD%2Fref%3Dsr_1_18_sspa%3Fcrid%3D1D1FBPR93YL96%26dib%3DeyJ2IjoiMSJ9.-3VI1TpjshEYq87j-6o5b6i4gpV2JFFtvElJtEBJUycH-49kt66lOB-AjBZEf1cT4sc3TGz3l8KUqz-NuT5TD8RS0QxyI3BHnrnqNfr6BHzGdFmum_FtdaeQ-ljy1A3eusKSf5KcrAg2Jc8eOE1mkUTnlAKAZGDY0B26HB9wjPvRzBePfT5CKwYqCLZa7x7bIpY6EsJwNCqW0Ggsm3NEA_0ySAJdTuliQE5IdonrVco.kxxShpF7jGUNN2WIKfJEkU5iSAqPIUui3TAc8h87m70%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1719650548%26sprefix%3Dlaptop%252Caps%252C349%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
15,"SGIN Laptop 15,6 Zoll, 12 GB RAM 512 GB SSD Windows 11 Notebook, Celeron N5095, Up to 2,8 GHz, 1920 x 1080, 2,4/5,0 G WLAN, Bluetooth 4.2, erweiterbarer Speicher 512 GB TF  ",299.,https://www.amazon.de//-/en/X15/dp/B0D1K6SH34/ref=sr_1_19?crid=1D1FBPR93YL96&dib=eyJ2IjoiMSJ9.-3VI1TpjshEYq87j-6o5b6i4gpV2JFFtvElJtEBJUycH-49kt66lOB-AjBZEf1cT4sc3TGz3l8KUqz-NuT5TD8RS0QxyI3BHnrnqNfr6BHzGdFmum_FtdaeQ-ljy1A3eusKSf5KcrAg2Jc8eOE1mkUTnlAKAZGDY0B26HB9wjPvRzBePfT5CKwYqCLZa7x7bIpY6EsJwNCqW0Ggsm3NEA_0ySAJdTuliQE5IdonrVco.kxxShpF7jGUNN2WIKfJEkU5iSAqPIUui3TAc8h87m70&dib_tag=se&keywords=laptop&qid=1719650548&sprefix=laptop%2Caps%2C349&sr=8-19
16,Lenovo ThinkPad T460s UltraBook 14 Zoll Full HD Laptop Intel Core i5-6300U@ bis zu 3 GHz 8 GB 256 GB SSD mit Windows 11 Pro & GRATIS Antiviren-Software inkl. 1 Jahr Garantie (GeneralÃ¼berholt)  ,199.,https://www.amazon.de//-/en/dp/B09ZJ4Z22Q/ref=sr_1_20?crid=1D1FBPR93YL96&dib=eyJ2IjoiMSJ9.-3VI1TpjshEYq87j-6o5b6i4gpV2JFFtvElJtEBJUycH-49kt66lOB-AjBZEf1cT4sc3TGz3l8KUqz-NuT5TD8RS0QxyI3BHnrnqNfr6BHzGdFmum_FtdaeQ-ljy1A3eusKSf5KcrAg2Jc8eOE1mkUTnlAKAZGDY0B26HB9wjPvRzBePfT5CKwYqCLZa7x7bIpY6EsJwNCqW0Ggsm3NEA_0ySAJdTuliQE5IdonrVco.kxxShpF7jGUNN2WIKfJEkU5iSAqPIUui3TAc8h87m70&dib_tag=se&keywords=laptop&qid=1719650548&sprefix=laptop%2Caps%2C349&sr=8-20
17,Lenovo Laptop | 15.6 Inch FHD Display | Intel N5100 4 x 2.80 GHz | 8 GB DDR4 RAM | 256 GB SSD | Intel UHD Graphics | Windows 11 Pro #7526  ,266.,https://www.amazon.de//-/en/Lenovo-Display-Graphics-Windows-7526/dp/B0CV1289Y8/ref=sr_1_21?crid=1D1FBPR93YL96&dib=eyJ2IjoiMSJ9.-3VI1TpjshEYq87j-6o5b6i4gpV2JFFtvElJtEBJUycH-49kt66lOB-AjBZEf1cT4sc3TGz3l8KUqz-NuT5TD8RS0QxyI3BHnrnqNfr6BHzGdFmum_FtdaeQ-ljy1A3eusKSf5KcrAg2Jc8eOE1mkUTnlAKAZGDY0B26HB9wjPvRzBePfT5CKwYqCLZa7x7bIpY6EsJwNCqW0Ggsm3NEA_0ySAJdTuliQE5IdonrVco.kxxShpF7jGUNN2WIKfJEkU5iSAqPIUui3TAc8h87m70&dib_tag=se&keywords=laptop&qid=1719650548&sprefix=laptop%2Caps%2C349&sr=8-21
18,"Acer Aspire 3 (A317-53-36VX)
                                        Laptop | 17.3 FHD Display | Intel Core i3-1115G4 | 8 GB RAM | 512 GB SSD | Intel
                                        UHD Graphics | Windows 11 | QWERTZ Keyboard | Silver  ",499.,https://www.amazon.de//-/en/sspa/click?ie=UTF8&spc=MTo1NDI1MDcxNjc2NjE0NDc1OjE3MTk2NTA1NDk6c3BfYnRmOjMwMDA2NjU1Mjk4NDIzMjo6MDo6&url=%2FA317-53-36VX-Display-i3-1115G4-Graphics-Keyboard%2Fdp%2FB09Q8Y91LH%2Fref%3Dsr_1_22_sspa%3Fcrid%3D1D1FBPR93YL96%26dib%3DeyJ2IjoiMSJ9.-3VI1TpjshEYq87j-6o5b6i4gpV2JFFtvElJtEBJUycH-49kt66lOB-AjBZEf1cT4sc3TGz3l8KUqz-NuT5TD8RS0QxyI3BHnrnqNfr6BHzGdFmum_FtdaeQ-ljy1A3eusKSf5KcrAg2Jc8eOE1mkUTnlAKAZGDY0B26HB9wjPvRzBePfT5CKwYqCLZa7x7bIpY6EsJwNCqW0Ggsm3NEA_0ySAJdTuliQE5IdonrVco.kxxShpF7jGUNN2WIKfJEkU5iSAqPIUui3TAc8h87m70%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1719650548%26sprefix%3Dlaptop%252Caps%252C349%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
19,HP Laptop | 17.3 Inch HD+ Display | Intel Celeron N4120 | 8 GB DDR4 RAM | 256 GB SSD | Intel UHD Graphics | Windows 11 | QWERTZ | Black  ,364.,https://www.amazon.de//-/en/Laptop-Display-Celeron-Graphics-Windows/dp/B0CP483B3M/ref=sr_1_4?crid=1D1FBPR93YL96&dib=eyJ2IjoiMSJ9.-3VI1TpjshEYq87j-6o5b6i4gpV2JFFtvElJtEBJUycH-49kt66lOB-AjBZEf1cT4sc3TGz3l8KUqz-NuT5TD8RS0QxyI3BHnrnqNfr6BHzGdFmum_FtdaeQ-ljy1A3eusKSf5KcrAg2Jc8eOE1mkUTnlAKAZGDY0B26HB9wjPvRzBePfT5CKwYqCLZa7x7bIpY6EsJwNCqW0Ggsm3NEA_0ySAJdTuliQE5IdonrVco.kxxShpF7jGUNN2WIKfJEkU5iSAqPIUui3TAc8h87m70&dib_tag=se&keywords=laptop&qid=1719650548&sprefix=laptop%2Caps%2C349&sr=8-4
